month,lon,lat,depth,don,dop,doc
5,-21.71481,33.62421,200.3,3.4,-999.0,-999.0
5,-21.71481,33.62421,250.3,2.89,0.06,-999.0
5,-21.71481,33.62421,300.5,-999.0,-999.0,-999.0
5,-20.02017,41.49247,1.9,4.55,0.1,-999.0
5,-20.02017,41.49247,17.2,4.52,0.09,-999.0
5,-20.02017,41.49247,23.0,5.45,0.1,-999.0
5,-20.02017,41.49247,48.7,4.6,0.06,-999.0
5,-20.02017,41.49247,75.7,3.75,0.07,-999.0
5,-20.02017,41.49247,101.0,3.47,-999.0,-999.0
5,-20.02017,41.49247,126.0,4.25,-999.0,-999.0
5,-20.02017,41.49247,150.8,3.43,-999.0,-999.0
5,-20.02017,41.49247,176.1,3.35,-999.0,-999.0
5,-20.02017,41.49247,201.1,-999.0,-999.0,-999.0
5,-20.02017,41.49247,251.4,4.28,-999.0,-999.0
5,-20.02017,41.49247,301.5,3.46,-999.0,-999.0
5,-18.52908,45.65005,2.8,4.0,-999.0,-999.0
5,-18.52908,45.65005,8.5,5.25,-999.0,-999.0
5,-18.52908,45.65005,27.0,5.1,-999.0,-999.0
5,-18.52908,45.65005,47.3,3.77,-999.0,-999.0
5,-18.52908,45.65005,75.9,-999.0,-999.0,-999.0
5,-18.52908,45.65005,101.0,5.79,-999.0,-999.0
5,-18.52908,45.65005,125.3,4.67,-999.0,-999.0
5,-18.52908,45.65005,150.3,-999.0,-999.0,-999.0
5,-18.52908,45.65005,174.9,4.32,-999.0,-999.0
5,-18.52908,45.65005,200.0,-999.0,-999.0,-999.0
5,-18.52908,45.65005,248.1,-999.0,-999.0,-999.0
5,-18.52908,45.65005,299.9,5.03,-999.0,-999.0
5,-12.68195,47.68797,1.4,4.45,0.12,-999.0
5,-12.68195,47.68797,3.1,4.64,0.12,-999.0
5,-12.68195,47.68797,22.0,-999.0,0.51,-999.0
5,-12.68195,47.68797,34.7,-999.0,0.39,-999.0
5,-12.68195,47.68797,75.4,6.17,-999.0,-999.0
5,-12.68195,47.68797,100.7,-999.0,-999.0,-999.0
5,-12.68195,47.68797,126.0,-999.0,-999.0,-999.0
5,-12.68195,47.68797,150.5,-999.0,-999.0,-999.0
5,-12.68195,47.68797,175.5,-999.0,-999.0,-999.0
5,-12.68195,47.68797,200.8,3.77,-999.0,-999.0
5,-12.68195,47.68797,250.3,3.92,-999.0,-999.0
5,-12.68195,47.68797,301.3,4.22,-999.0,-999.0
3,-50.25497,-47.03932,15.0,3.13,0.09,-999.0
3,-50.25497,-47.03932,20.2,3.81,0.08,-999.0
3,-50.25497,-47.03932,25.1,4.56,0.07,-999.0
3,-50.25497,-47.03932,30.0,3.84,0.07,-999.0
3,-50.25497,-47.03932,99.5,-999.0,-999.0,-999.0
4,-41.55872,-41.03489,8.6,7.87,0.18,-999.0
4,-41.55872,-41.03489,18.6,4.71,0.02,-999.0
4,-41.55872,-41.03489,33.1,4.25,0.14,-999.0
4,-41.55872,-41.03489,65.0,4.27,0.13,-999.0
4,-41.55872,-41.03489,80.8,-999.0,-999.0,-999.0
4,-38.58539,-38.88149,17.0,5.46,0.11,-999.0
4,-38.58539,-38.88149,27.1,5.62,0.12,-999.0
4,-38.58539,-38.88149,36.7,4.66,0.09,-999.0
4,-38.58539,-38.88149,67.2,4.63,0.03,-999.0
4,-38.58539,-38.88149,101.3,2.77,-999.0,-999.0
4,-34.78997,-35.96667,9.2,5.11,0.16,-999.0
4,-34.78997,-35.96667,22.6,4.47,0.17,-999.0
4,-34.78997,-35.96667,40.7,4.42,0.07,-999.0
4,-34.78997,-35.96667,87.1,4.63,0.15,-999.0
4,-34.78997,-35.96667,120.5,2.95,0.1,-999.0
4,-31.00796,-32.97375,14.7,3.53,0.11,-999.0
4,-31.00796,-32.97375,25.2,4.65,0.22,-999.0
4,-31.00796,-32.97375,44.9,6.21,0.35,-999.0
4,-31.00796,-32.97375,101.2,6.56,0.06,-999.0
4,-31.00796,-32.97375,150.7,2.42,-999.0,-999.0
4,-27.09417,-29.76885,6.5,4.48,0.08,-999.0
4,-27.09417,-29.76885,24.7,4.79,0.08,-999.0
4,-27.09417,-29.76885,44.0,4.46,0.15,-999.0
4,-27.09417,-29.76885,104.1,4.57,0.18,-999.0
4,-27.09417,-29.76885,153.8,5.45,0.22,-999.0
4,-25.10199,-28.08823,12.3,-999.0,-999.0,-999.0
4,-25.10199,-28.08823,12.6,-999.0,-999.0,-999.0
4,-25.10199,-28.08823,22.7,-999.0,-999.0,-999.0
4,-25.10199,-28.08823,24.3,5.25,0.09,-999.0
4,-25.10199,-28.08823,43.9,-999.0,-999.0,-999.0
4,-25.10199,-28.08823,44.2,-999.0,-999.0,-999.0
4,-25.10199,-28.08823,81.6,-999.0,-999.0,-999.0
4,-25.10199,-28.08823,123.7,4.6,0.08,-999.0
4,-25.10199,-28.08823,157.7,3.24,0.08,-999.0
4,-24.99512,-24.23124,15.0,5.5,0.09,-999.0
4,-24.99512,-24.23124,26.0,5.01,0.15,-999.0
4,-24.99512,-24.23124,47.6,5.15,0.16,-999.0
4,-24.99512,-24.23124,120.3,4.33,0.14,-999.0
4,-24.99512,-24.23124,164.7,3.73,0.2,-999.0
4,-25.00379,-20.92963,20.2,5.09,0.19,-999.0
4,-25.00379,-20.92963,35.8,4.68,0.23,-999.0
4,-25.00379,-20.92963,64.2,4.2,0.25,-999.0
4,-25.00379,-20.92963,147.7,5.08,-999.0,-999.0
4,-25.00379,-20.92963,223.2,-999.0,-999.0,-999.0
4,-24.99619,-16.64452,19.4,5.3,0.26,-999.0
4,-24.99619,-16.64452,35.4,5.02,0.26,-999.0
4,-24.99619,-16.64452,64.2,5.07,0.27,-999.0
4,-24.99619,-16.64452,149.4,4.68,0.24,-999.0
4,-24.99619,-16.64452,224.3,-999.0,-999.0,-999.0
4,-24.99443,-12.27593,6.5,-999.0,-999.0,-999.0
4,-24.99443,-12.27593,16.3,-999.0,-999.0,-999.0
4,-24.99443,-12.27593,16.5,-999.0,-999.0,-999.0
4,-24.99443,-12.27593,30.3,-999.0,-999.0,-999.0
4,-24.99443,-12.27593,30.4,-999.0,-999.0,-999.0
4,-24.99443,-12.27593,54.8,-999.0,-999.0,-999.0
4,-24.99443,-12.27593,55.0,-999.0,-999.0,-999.0
4,-24.99443,-12.27593,114.2,-999.0,-999.0,-999.0
4,-24.99443,-12.27593,129.7,1.67,0.14,-999.0
4,-24.99443,-12.27593,194.9,-999.0,-999.0,-999.0
4,-25.00206,-8.81756,13.7,5.03,0.22,-999.0
4,-25.00206,-8.81756,24.9,5.1,0.22,-999.0
4,-25.00206,-8.81756,45.7,4.98,0.21,-999.0
4,-25.00206,-8.81756,102.0,4.97,0.37,-999.0
4,-25.00206,-8.81756,153.1,-999.0,0.33,-999.0
4,-25.01249,-4.46185,11.8,5.98,0.25,-999.0
4,-25.01249,-4.46185,21.5,5.14,0.24,-999.0
4,-25.01249,-4.46185,39.2,5.27,0.24,-999.0
4,-25.01249,-4.46185,89.8,5.09,0.37,-999.0
4,-25.01249,-4.46185,137.0,-999.0,0.26,-999.0
4,-24.99662,-0.10135,8.0,7.02,0.48,-999.0
4,-24.99662,-0.10135,15.0,6.96,0.49,-999.0
4,-24.99662,-0.10135,26.8,5.34,0.18,-999.0
4,-24.99662,-0.10135,59.1,4.52,0.32,-999.0
4,-24.99662,-0.10135,91.7,2.11,0.22,-999.0
4,-26.24346,3.24473,6.4,5.09,0.15,-999.0
4,-26.24346,3.24473,11.3,5.14,0.15,-999.0
4,-26.24346,3.24473,21.6,5.13,0.16,-999.0
4,-26.24346,3.24473,48.8,5.23,0.14,-999.0
4,-26.24346,3.24473,74.8,-999.0,0.23,-999.0
4,-27.78171,7.28897,8.0,5.73,0.1,-999.0
4,-27.78171,7.28897,15.0,6.14,0.09,-999.0
4,-27.78171,7.28897,25.9,5.95,0.13,-999.0
4,-27.78171,7.28897,59.8,0.49,0.06,-999.0
4,-27.78171,7.28897,75.5,-999.0,0.28,-999.0
4,-29.36786,11.40053,9.9,5.5,-999.0,-999.0
4,-29.36786,11.40053,18.5,5.38,0.14,-999.0
