lon,lat,depth,dFe_obs
210.002,-67.5006,54.4,0.08
210.002,-67.5007,70.3,0.09
210.002,-67.5007,90.5,0.08
210.002,-67.5007,120.4,0.1
210.002,-67.5007,170.8,0.17
210.002,-67.5007,220.4,0.23
210.002,-67.5007,270.8,0.26
210.002,-67.5007,472.7,0.25
210.002,-67.5007,643.8,0.26
210.002,-67.5007,846.0,0.38
209.999,-68.5009,7.8,0.12
209.999,-68.5009,34.4,0.1
209.999,-68.5009,50.6,0.1
209.999,-68.5009,80.5,0.09
209.999,-68.5008,100.4,0.1
209.999,-68.5009,126.1,0.12
209.999,-68.5009,150.6,0.16
209.999,-68.5009,201.4,0.19
209.999,-68.5009,250.6,0.23
209.999,-68.5009,502.5,0.29
209.999,-68.5009,704.8,0.36
209.999,-68.5009,854.9,0.43
209.999,-69.5001,10.4,0.11
209.999,-69.5,30.2,0.08
209.999,-69.5001,65.1,0.07
209.999,-69.5001,85.3,0.07
209.999,-69.5001,106.1,0.1
209.999,-69.5002,136.2,0.11
209.999,-69.5002,186.2,0.13
209.999,-69.5002,236.3,0.19
209.999,-69.5001,288.5,0.21
209.999,-69.5001,488.7,0.21
209.999,-69.5002,675.8,0.31
209.999,-69.5001,852.1,0.35
209.998,-70.9996,20.7,0.12
209.998,-70.9996,40.4,0.18
209.998,-70.9996,64.4,0.09
209.998,-70.9996,85.2,0.1
209.998,-70.9996,105.7,0.09
209.998,-70.9996,135.7,0.1
209.997,-70.9996,180.4,0.16
209.997,-70.9996,237.1,0.19
209.998,-70.9995,268.7,0.22
209.998,-70.9996,487.5,0.29
209.998,-70.9996,674.6,0.31
209.998,-70.9996,850.2,0.29
133.11,32.749,15.1,1.03
133.11,32.749,38.6,0.8
133.11,32.749,61.0,0.61
133.11,32.749,80.1,0.77
133.11,32.749,100.2,0.97
133.11,32.749,125.6,1.0
133.11,32.749,150.9,1.03
133.11,32.749,201.5,1.01
133.11,32.749,251.1,1.1
133.11,32.748,503.4,1.13
133.11,32.748,704.9,1.37
133.18,32.759,1007.5,1.2
133.29,32.413,19.5,0.63
133.29,32.413,39.7,0.56
133.29,32.413,63.9,0.55
133.29,32.413,84.3,0.74
133.29,32.413,105.1,0.76
133.29,32.413,136.3,0.77
133.29,32.413,185.3,0.81
133.29,32.413,235.2,1.0
133.29,32.414,287.9,0.99
133.27,32.453,674.9,1.13
133.25,32.504,976.1,1.09
133.52,32.003,15.2,0.61
133.52,32.003,38.4,0.53
133.52,32.003,64.1,0.6
133.52,32.003,84.7,0.68
133.52,32.003,105.2,0.83
133.52,32.003,136.6,0.8
133.52,32.003,186.9,0.8
133.52,32.003,234.8,0.9
133.52,32.003,286.4,0.84
133.52,32.002,474.7,0.94
133.51,32.002,674.4,1.0
133.51,32.003,979.0,1.07
133.86,31.474,16.3,0.91
133.86,31.472,39.8,0.71
133.86,31.472,58.9,0.58
133.86,31.472,79.1,0.6
133.86,31.471,99.3,0.71
133.86,31.471,123.9,0.81
133.86,31.471,149.8,0.83
133.86,31.471,199.6,0.82
133.86,31.471,250.0,0.87
133.85,31.471,505.7,1.17
133.85,31.471,706.1,1.15
133.84,31.471,866.0,1.14
133.82,31.468,19.1,0.72
133.82,31.468,39.6,0.62
133.82,31.468,64.8,0.54
133.82,31.469,83.5,0.54
133.82,31.469,105.3,0.7
133.82,31.469,134.8,0.62
133.82,31.469,187.2,0.72
133.82,31.469,235.1,0.62
133.82,31.469,288.4,0.79
133.82,31.469,475.2,0.86
133.82,31.469,675.4,0.91
133.82,31.469,978.1,1.14
134.47,30.236,19.9,0.56
134.47,30.236,33.9,0.59
134.47,30.236,50.1,0.52
134.47,30.235,69.8,0.46
134.47,30.235,90.8,0.43
134.48,30.233,120.9,0.47
134.48,30.231,170.3,0.48
134.49,30.228,220.7,0.47
134.49,30.226,271.6,0.61
134.5,30.218,440.9,0.65
134.52,30.207,643.6,0.77
134.55,30.189,906.6,0.84
136.61,29.994,17.1,0.54
136.61,29.994,37.7,0.46
136.61,29.994,55.8,0.41
