,collection,case,stream,variable,path
1559,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101.pop.h.photoC_diat_zint_100m.206501-210012.nc
1560,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102.pop.h.photoC_diat_zint_100m.201501-206412.nc
1561,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102.pop.h.photoC_diat_zint_100m.206501-210012.nc
1562,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103.pop.h.photoC_diat_zint_100m.201501-206412.nc
1563,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103.pop.h.photoC_diat_zint_100m.206501-210012.nc
1564,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101,pop.h,POC_FLUX_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101.pop.h.POC_FLUX_100m.201501-206412.nc
1565,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101,pop.h,POC_FLUX_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.101.pop.h.POC_FLUX_100m.206501-210012.nc
1566,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102,pop.h,POC_FLUX_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102.pop.h.POC_FLUX_100m.201501-206412.nc
1567,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102,pop.h,POC_FLUX_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.102.pop.h.POC_FLUX_100m.206501-210012.nc
1568,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103,pop.h,POC_FLUX_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103.pop.h.POC_FLUX_100m.201501-206412.nc
1569,epoch_mean,b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103,pop.h,POC_FLUX_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103/ocn/proc/tseries/month_1/b.e21.BSSP245cmip6.f09_g17.CMIP6-SSP2-4.5.103.pop.h.POC_FLUX_100m.206501-210012.nc
1570,epoch_mean,b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101,pop.h,photoC_TOT_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101/ocn/proc/tseries/month_1/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101.pop.h.photoC_TOT_zint_100m.201501-206412.nc
1571,epoch_mean,b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101,pop.h,photoC_TOT_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101/ocn/proc/tseries/month_1/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101.pop.h.photoC_TOT_zint_100m.206501-210012.nc
1572,epoch_mean,b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.102,pop.h,photoC_TOT_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.102/ocn/proc/tseries/month_1/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.102.pop.h.photoC_TOT_zint_100m.201501-206412.nc
1573,epoch_mean,b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.102,pop.h,photoC_TOT_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.102/ocn/proc/tseries/month_1/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.102.pop.h.photoC_TOT_zint_100m.206501-210012.nc
